rcp,parameter,attribute,r_partial,p,p_fdr,sig_fdr
45,max_30day,p_seasonality,-0.14471544141412046,0.0002967885955780755,0.0009497235058498416,True
45,max_30day,frac_snow,0.03848575962413125,0.33832369051857664,0.4136224246421439,False
45,max_3day,frac_high_perc,0.09335368824843773,0.019978154813496313,0.03816722113623176,True
45,max_3day,runoff_ratio,0.11010037033196969,0.006023243164884877,0.013628348171052651,True
45,max_3day,area,0.10554087820566482,0.008485366790990372,0.0184536132153577,True
45,max_3day,dpsbar,-0.03532306525158198,0.37953845869521696,0.4564650456253884,False
45,max_3day,elev_mean,0.07533227838993282,0.06063399577968484,0.09913879601933871,False
45,max_3day,p_seasonality,-0.030743417612463464,0.44441491490666934,0.5198378116923965,False
45,max_3day,frac_snow,0.07459612670930416,0.06320173812051165,0.10227708374506875,False
45,max_7day,frac_high_perc,0.06377137801380212,0.11237930800667399,0.16346081164607126,False
45,max_7day,runoff_ratio,0.07407337605907756,0.06507903332555888,0.10449966641523434,False
45,max_7day,area,0.14291083982647454,0.0003535926206079267,0.0011000659307802165,True
45,max_7day,dpsbar,-0.046072057215184176,0.2516274472210282,0.32070866672836595,False
45,max_7day,elev_mean,0.054954637617697845,0.171394387335483,0.23517514709432277,False
45,max_7day,p_seasonality,-0.04441822828057422,0.2690677585417796,0.3405151294540036,False
45,max_7day,frac_snow,0.05236163368274599,0.19253711281601998,0.2602009850424644,False
45,max_90day,frac_high_perc,0.02799293166730392,0.48623391626724616,0.5621491470651001,False
45,max_90day,runoff_ratio,0.0997515997422104,0.012882745555357815,0.02647463306789129,True
45,max_90day,area,0.06586029266034968,0.10106673739144056,0.14967900281443097,False
45,max_90day,dpsbar,-0.004650566155311623,0.9079230831213045,0.9297132371162159,False
45,max_90day,elev_mean,0.11882908681910029,0.003019421633424002,0.007494187766060681,True
45,max_90day,p_seasonality,-0.19332560581623554,1.2111415217894966e-06,6.096532604063983e-06,True
45,max_90day,frac_snow,0.09632393605551684,0.016344553210278025,0.03218619709100903,True
45,mean_fall_rate,frac_high_perc,0.04265614672192303,0.288541249432235,0.3600737597371624,False
45,mean_fall_rate,runoff_ratio,0.20759663441532608,1.7908852087385975e-07,1.041969575993366e-06,True
45,mean_fall_rate,area,-0.09853119352254795,0.014033003900580144,0.028382779898238848,True
45,mean_fall_rate,dpsbar,-0.14777203738999556,0.00021958656414918111,0.0007314110092106553,True
45,mean_fall_rate,elev_mean,-0.2682061890719277,1.0825051128654327e-11,1.1410877425028562e-10,True
45,mean_fall_rate,p_seasonality,-0.0629815155031051,0.11690774387808218,0.1691812923872939,False
45,mean_fall_rate,frac_snow,-0.2552795431615855,1.0751841607563352e-10,9.830255184057921e-10,True
45,mean_rise_rate,frac_high_perc,0.07235659259771464,0.0715695628881617,0.11369916373722143,False
45,mean_rise_rate,runoff_ratio,0.1376882290692349,0.0005802963919167304,0.0017506584752774088,True
45,mean_rise_rate,area,0.0062090188122627885,0.8772803969221858,0.9097722634748594,False
45,mean_rise_rate,dpsbar,-0.049358914967393,0.2193387244101343,0.28901102510511817,False
45,mean_rise_rate,elev_mean,-0.0672867123606942,0.09387598530933837,0.14136618964229777,False
45,mean_rise_rate,p_seasonality,-0.15696170629084105,8.567029076533352e-05,0.0003070423221029553,True
45,mean_rise_rate,frac_snow,-0.06598336522483858,0.10042954851535436,0.14898158190357202,False
45,min_1day,frac_high_perc,-0.16955541674721414,2.1609307970136314e-05,8.653110988884426e-05,True
45,min_1day,runoff_ratio,0.28266467305236953,7.144600737538525e-13,8.891058695603498e-12,True
45,min_1day,area,-0.10507683042164391,0.00878052593992184,0.01900209096950508,True
45,min_1day,dpsbar,0.10500446385807892,0.008827370679499506,0.01900209096950508,True
45,min_1day,elev_mean,0.15636068420241628,9.125892025733907e-05,0.00032447616091498335,True
45,min_1day,p_seasonality,0.22048432406461652,2.8268460793357108e-08,1.8487986037115305e-07,True
45,min_1day,frac_snow,0.2721575973985328,5.232762479340695e-12,6.01096818139649e-11,True
45,min_30day,frac_high_perc,-0.1433154692762136,0.0003400373865113187,0.001064727505769493,True
45,min_30day,runoff_ratio,0.37843157427034047,1.4073292172593536e-22,6.6366683087598984e-21,True
45,min_30day,area,-0.1057813436372389,0.008335926770605653,0.018297264484912798,True
45,min_30day,dpsbar,0.023491177106945618,0.5590196212721329,0.6292482169093355,False
45,min_30day,elev_mean,0.09689506164159323,0.015716494652786614,0.03108604681875675,True
